'User ID'|'User IP'|'Gender'|'Year of born'|'Start time'|'Stop time'|'Position of 1st'|'Position of 2nd'|'Rotation of 1st'|'Rotation of 2nd'|'ID 1st'|'ID 2nd'|'Fit'|'Result'
157834626344910011339248613|150.254.142.228|man|1995|06.01.2020 22:31:02|06.01.2020 22:32:09|(0.6284838560297918,1.4148895228402607,0)|(0,2,0)|(0,0,-0.2820702605724862)|(0,0,0)|69|73|1:7;2:8;3:6;4:5;5:1|15
157834626344910011339248613|150.254.142.228|man|1995|06.01.2020 22:32:09|06.01.2020 22:33:13|(0.04102512353443388,2.341605592513838,0.3073598120132607)|(0,2,0)|(0,0,0)|(0,0,0)|70|65|1:1;2:2;3:7;4:8;5:11;6:12|8
157834626344910011339248613|150.254.142.228|man|1995|06.01.2020 22:33:13|06.01.2020 22:34:40|(-0.1462729808493054,1.3941805259194266,0.04279152774333783)|(-0.43015897196557173,2,0)|(0.03411737924174247,-0.057187555419687626,0.5383172145189083)|(0,0,0)|69|65|1:7;2:8;3:2;4:3;5:4|9
157834626344910011339248613|150.254.142.228|man|1995|06.01.2020 22:34:40|06.01.2020 22:35:47|(-0.692020526482199,3.345003101940425,0.2860797271310461)|(0,2,0)|(0.18323010850837218,-0.006456002420909658,2.4488415347829817)|(0,0,0)|284|441|1:4;2:5;3:7;4:9;5:10|19
157834626344910011339248613|150.254.142.228|man|1995|06.01.2020 22:35:47|06.01.2020 22:37:26|(-3.917776467453857,1.9601042870711742,0)|(0,2,0)|(0,0,0)|(0,0,0)|439|81|1:2;2:3;3:4;4:6;5:9;6:50;7:12;8:52|7
157834626344910011339248613|150.254.142.228|man|1995|06.01.2020 22:37:26|06.01.2020 22:41:04|(0.21923300642646074,2.4183644330649066,0.23880748353349252)|(0,2,0)|(0,0,0)|(0,0,0)|417|95|1:16;2:3;3:4;4:7;5:24;6:6;7:5;8:12;9:9;10:1;11:22;12:26;13:23;14:13;15:18;16:17;17:14;18:11|10
157834626344910011339248613|150.254.142.228|man|1995|06.01.2020 22:41:04|06.01.2020 22:42:17|(-1.3493837523779177,2.1425695565366762,0)|(0,2,0)|(0,0,-2.045058176857559)|(0,0,0)|78|409|1:15;2:11;3:7;4:2;5:1;6:3|17
